username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,137000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,68300,https://github.com/nvm-sh/nvm
junegunn,fzf,53100,https://github.com/junegunn/fzf
google,zx,37800,https://github.com/google/zx
starship,starship,35000,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,34000,https://github.com/LeCoupa/awesome-cheatsheets
dylanaraps,pure-bash-bible,33700,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,32400,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,32299,https://github.com/acmesh-official/acme.sh
mathiasbynens,dotfiles,29100,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,27800,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,24300,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,22200,https://github.com/withfig/autocomplete
dylanaraps,neofetch,18400,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,17900,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17300,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,15100,https://github.com/kingToolbox/WindTerm
rbenv,rbenv,15100,https://github.com/rbenv/rbenv
warpdotdev,Warp,14300,https://github.com/warpdotdev/Warp
faressoft,terminalizer,14200,https://github.com/faressoft/terminalizer
